학수번호,국문교과목명,영문명,해설
STA4005,데이터마이닝,Data Mining,"데이터 마이닝의 개념과 적용사례, 그리고 통계학에서의 역할 등과 함께 데이터 마이닝의 여러 기법 중 로지스틱 회귀 분석, 의사결정나무, 신경망 분석 등을 실제 자료를 이용하여 여러 가지의 통계패키지를 이용하여 분석 비교 연구한다. Basic concepts and applications of Data Mining are taught. Various data mining techniques such as logistic regression, decision trees, and neural networks are analyzed and compared based on real data with various statistic packages."
STA4006,범주형자료분석,Categorical Data Analysis,"확률변수가 연속적이 아닌 이산형 자료에 대한 자료 분석과 모형 구축에 대하여 학습한다. 이항분포 및 포아송분포 뿐 아니라 분할표를 이용한 로지스틱 회귀모형, 다범주 로짓모형 등 최근 여러 학문 분야에서 급격히 증가하고 있는 범주형 자료에 대한 다양한 통계적 모형이나 분석 방법 등을 다룬다. Model development and data analysis are taught using data based on discrete random variable such as binomial distribution, Poisson distribution. Main topics are Chi-square test using contingency table, logistic regression, log linear models, and multicategory logit models."
STA4008,비모수통계학,Nonparametric Statistics,"통계문제를 다룸에 있어서 모집단의 분포를 모르는 경우나 모집단 분포가 정규분포가 아닌 경우에 측정된 자료를 통계 분석하는 방법을 학습한다. 특히, 의학통계학에서 다루는 자료들이 이 범주에 속하며, 임상실험에서 나오는 실제 자료를 분석한다. The aim of this course is to develop a deep and practical understanding of nonparametric statistical methods, which are used for data without normality assumption. Especially, the following cases are included in this category : data with outliers, data from survey and medical statistics. Those data will be analyzed using SAS and/or R programs."
STA4011,시계열해석,Time Series Analysis,"시계열의 변동을 장기적 추세변동, 계절변동, 순환변동, 불규칙변동으로 나누어 이들 변동에 따라 시계열을 해석하는 추세모형분석법, 분해법 및 평활법을 이용한 예측법에 대해 경험적 자료실습 및 통계적 이론을 통해 강의하며, 더 나아가서 정상 및 비정상 시계열 과정에 적합한 ARIMA모형을 이용한 시계열분석 방법을 습득하게 한다. For time series data analyses, stationary and non-stationar processes are introduced and explored. Variations of time series data are analyzed into deterministic trends, seasonal trends, periodic trends, and so on. Such trends are discussed."
STA4012,실험계획법,Experimental Design,"가장 좋은 정보를 얻기 위하여 어떻게 실험을 계획할 것인가에 대하여 학습하고, 얻어진 자료를 분석하고 해석하는 방법에 대하여 강의한다. For scientific studies and experiments, an efficient plan for them is required. Statistics has been developed experimental design for the purpose. Ih the couse, the methodologies for the analysis are introduced for several designs."
STA4016,통계모델링 및 컨설팅1,Statistical Modeling and Consulting1,"컴퓨터에 입력되는 자료는 대량화되고, 입력된 방대한 자료가 주는 메시지나 연구자가 원하는 정보를 추출하는 것이 최우선적 과제이다. 본 강의에서는 실험계획법, ANOVA, 회귀분석, 다변량분석, 비모수통계학에서 배우는 이론들을 실제 자료를 이용하여 컴퓨터 프로그램과 통계적 해석방법을 공부한다. This course prepares students to a rigorous study of the linear model on the appled statistical point of view, which is best known through multiple regression and analysis of variance. The aim of this course is to develop a deep and practical understanding of this classical linear model, along with its strengths and frailties. Depth of understanding comes from a systematic use of variety of data applications. Practical understanding comes from broad experience with and probing of the methods on particular data sets through use of a flexible computer data analysis language, which for us, will be SAS and/or R."
STA4017,통계모델링 및 컨설팅2,Statistical Modeling and Consulting2,"통계학습(Statistical Learning)의 지도학습(Supervised Learning)과 자율학습(Unsupervised Learning)과 관련된 빅데이터 모델링의 이론과 실제 자료 분석을 통해 공부한다. 또한 기초적인 text mining 방법을 공부한다. This course is designed for students to learn various analysis methods in statistical learning, including supervised learning and unsupervised learning in Big data modeling. And also study the introductory text mining techniques."
STA4020,통계적품질관리,Statistical Quality Control,"품질관리에서 필요로 하는 제반 통계적 기법 및 품질 검사에서 판정 방법, 표본 선택 방법 등을 학습하고, 관리도 작성 요령과 활용방법에 관하여 강의한다. Statical methodologies for quality control are introduced. Sampling methods, test for quality, etc. are discussed."
STA4034,회귀해석,Regression Analysis,"두 변량 이상의 변수들 사이의 관계를 식으로 표현하는 방법에 대하여 학습하고 회귀계수의 추정, 검정방법과 회귀선의 적합도검정, 분산분석 기법 등을 강의한다. Regression models are considered to identify any relation between two variables. Regression analysis course introduces estimations and tests for regression coefficients, lack-of-fit test, analysis of variances and so on."
STA4035,보험통계학,Insurance Statistics,"보험통계의 개념, 종류 및 여러 계산 방식을 학습하고, 생명표 작성, 순보험료 및 영업 보험료의 계산, 책임 준비금, 해약 환급금, 이익배당, 장기정기보험, 기업연금보험 등의 계산방식을 다룬다. This course focuses on the basic concepts on the insurance statistics. It covers the following issues: probabilities, random variables, moments, distribution in insurance statistics, insurance and Poisson processes etc. Through the course, the students will be familiar with applied problems in the insurance industry."
STA4037,표본조사방법론 및 실습,Sample Survey Methodology and Practice,"이론, 실습 수업 및 체험 학습 등을 통하여 각종 정부통계조사, 사회조사, 여론조사, 마케팅조사 등의 목적으로 흔히 사용되는 표본조사가 실제로 어떠한 절차에 따라 진행이 되는지 체계적으로 배운다. 표본조사의 기초 정보 수집을 위한 핵심 그룹 활동, 표본추출틀 준비, 자료수집방법 및 표본 크기 결정, 설문지 설계, 사전조사 실시, 조사원 선발 및 교육, 현장조사 실시, 설문 자료의 코드화 및 분석, 보고서 작성 등을 강의한다. An audience can be undergraduate and graduate students who want to understand and experience survey research. The course will be helpful for students who are faced with gathering data through a survey research project. It explores the topics: developing and administrating questionnaires, conducting practical surveys, ensuring scientific accuracy, analyzing and reporting survey results etc."
STA4038,표본설계,Sample Design,"표본조사의 기본개념과 모집단으로부터 실제로 표본을 추출하는 추출방법, 즉 단순임의추출법, 층별임의추출법, 집락추출법, 계통추출법, 확률비례추출법 등을 배우며 이들 추출법에 근거한 모수의 추정방법들을 다룬다. 실습을 통해 모집단을 대표할 수 있는 표본을 어떻게 추출하는지 실제로 경험한다. This is an introductory course on the design and analysis of sample surveys. The prerequisite is an elementary course in statistics. The course emphasizes the practical aspects of survey problems. It covers the following topics: basic concepts for sampling theory, simple random sampling and estimation, stratified random sampling and estimation, ratio, regression, and difference estimation, systematic sampling and estimation, cluster sampling and estimation etc."
STA4039,생존분석,Survival Analysis,"본 과목에서는 특정 사건이 발생할 때까지 걸리는 시간을 분석하는 통계 방법들을 학습한다. 특히, 사건까지 걸리는 시간이 중도절단 되는 특징을 반영하는 비모수적, 준모수적, 그리고 모수적 모형들을 다룬다. R을 활용하여 실제 자료를 분석한다. This course introduces statistical methods that analyze a time-to-event variable of interest. Especially, the focus will be on fitting non-parametric, semi-parametric and parametric models that take the censoring property of the variable into account. Several real data sets will be analyzed using statistical software R."
STA4040,베이지안통계학,Bayesian Statistics,"베이지안 통계학은 확률론을 기반으로 한 의사결정 이론과 추론 방법론을 제공하는 현대 통계학의 주요 분야 중 하나 입니다. 본 교과목은 베이지안 통계학의 기본 개념, 원리 및 실제 응용 사례를 학습하는 것을 목표 합니다. ayesian statistics is one of the major fields of modern statistics, providing decision-making theories and inference methodologies based on probability theory. This course aims to study the fundamental concepts, principles, and practical applications of Bayesian statistics."
